PNZ	-5.53256514444	50.1216721406
SIV	-5.47791226407	50.2090426754
CBB	-5.46326292457	50.1970477294
SER	-5.44425190472	50.1704893662
LTS	-5.44092565966	50.1787748209
LEL	-5.43654654764	50.1841225348
HYL	-5.41983608664	50.1855608955
CBN	-5.29741068048	50.2104344434
ARG	-5.83907751353	56.9125448399
MLG	-5.82959638304	57.0059873365
MRR	-5.82191753528	56.9697173593
RED	-5.22591520965	50.2332515208
BSL	-5.76380131567	56.8995522766
KYL	-5.71381249678	57.279770773
LCL	-5.66339479637	56.8809618921
DRN	-5.69131592901	57.3199746691
PYN	-5.11160730169	50.1707109814
PRW	-5.11206911953	50.216577574
PLK	-5.66599871169	57.3335632593
PNM	-5.08319249633	50.1503291465
FMT	-5.0649347909	50.1483390141
DCG	-5.63713048158	57.3370002607
NQY	-5.07565415619	50.4150934316
TRU	-5.06481219721	50.2638392224
FAL	-5.05602799068	50.150705968
QUI	-5.02849123919	50.4040529871
OBN	-5.47393141607	56.4124849914
STF	-5.55116053826	57.3522963152
GLF	-5.44961971381	56.8724008358
MFH	-5.04096838742	51.7149713577
SCR	-4.94075510507	50.3987048595
CON	-5.38544078717	56.4523511884
ATT	-5.4555769182	57.3950351095
JOH	-4.99632817021	51.756744979
STC	-5.42861242267	57.4227319996
FGW	-4.99483766063	52.0041124179
FGH	-4.98564191424	52.0115409775
HVF	-4.96020310393	51.8026303578
PMD	-4.93804745274	51.6939114012
ROC	-4.83019751833	50.418540386
PMB	-4.90602293302	51.6729435156
LCS	-5.2900363296	56.855405471
ACH	-5.33305513031	57.4820728365
TAY	-5.23960984998	56.4308062893
LAM	-4.8732562103	51.667184832
CLR	-4.88354763369	51.8516634764
SAU	-4.78935877055	50.3395152836
BGL	-4.79210010559	50.4003469488
LUX	-4.74738380072	50.3900336389
LHE	-5.19157640672	56.8552663122
STR	-5.024737362	54.9096007006
MRB	-4.79182997784	51.6601564824
PAR	-4.70467525733	50.3553248405
FOC	-5.11247759498	56.3938815323
CPA	-5.12195637878	56.8428254484
FTW	-5.10614319999	56.8204426526
LOS	-4.66596568382	50.4071760648
BOD	-4.66292826192	50.4458610087
BNV	-5.09542547269	56.8433068188
PNA	-4.72205496367	51.6589177317
CUW	-4.73184171247	51.840538107
NAR	-4.72717500954	51.7993669165
LHA	-5.04197526173	56.4020146257
SDF	-4.71658241089	51.7220890133
KGT	-4.71515561274	51.732104755
TEN	-4.70669585781	51.6729431281
DAL	-4.98355196287	56.4011877283
ACN	-5.07233202839	57.579288256
GIR	-4.8483812108	55.2463109797
WMS	-4.88907980965	55.8761427293
WTL	-4.61439058105	51.8180283501
LAR	-4.86719740015	55.7927417391
INP	-4.87258604208	55.9061029398
WKB	-4.8517454516	55.696153596
FRL	-4.85326731201	55.7519408875
SBR	-4.92160666952	56.8900121645
ADS	-4.82111027716	55.6398707246
BRL	-4.78178095679	55.0970031124
ADN	-4.81267510035	55.6397049642
IBM	-4.82723989948	55.9294455306
ASB	-4.80121129595	55.6414146691
COE	-4.48185114998	50.445917932
GCH	-4.82571635818	56.0798625837
GRK	-4.81665758585	55.962317492
LSK	-4.46957496346	50.4468628725
HHD	-4.63100233684	53.3076822228
CAU	-4.46644776242	50.4056885772
SLT	-4.78429026655	55.6338807357
SDP	-4.46447986796	50.3867514342
BCN	-4.80354801268	55.940594154
SKN	-4.46351979936	50.4230384763
LOO	-4.45616364529	50.3592236264
FTM	-4.79526736845	55.9590295791
AAT	-4.91385115472	57.6095944506
DFR	-4.77476594098	55.9412461884
STV	-4.75078948824	55.6342774384
RYB	-4.83724199464	56.8883626391
GKW	-4.7678330917	55.9473347597
GKC	-4.7526338788	55.9453384358
WNL	-4.74669425114	55.9383700736
MEN	-4.4092229491	50.4262269508
VAL	-4.56336873289	53.2812828178
CDY	-4.7315906203	55.9422116437
KWN	-4.71001851815	55.6559496871
HLC	-4.73275772134	56.0042066512
DLY	-4.71107953199	55.7062186321
MAY	-4.68528864537	55.3547348297
HLU	-4.72980391715	56.0123617579
BRO	-4.76299268357	56.5158655386
BGS	-4.71140088168	55.9370400826
CGD	-4.71124363156	55.994794564
ART	-4.7227699455	56.2039693253
IRV	-4.67514534079	55.6108726257
AUI	-4.7216572807	56.3019650833
PTG	-4.68982561401	55.9335134736
GLG	-4.67450157897	55.7388860406
LCC	-4.80904870295	57.6217555236
TRN	-4.65529945292	55.5428096683
TYL	-4.71482094924	56.433340589
RHO	-4.50664179441	53.2348360307
BSS	-4.65113840578	55.5610572047
UTY	-4.70372133462	56.4346616458
AYR	-4.6258755236	55.4581405177
NOA	-4.62582620255	55.4740518137
WDL	-4.6554009319	55.9312047334
CDR	-4.65307311084	55.9603771708
TYC	-4.47473267846	53.2225559095
PTW	-4.61515621498	55.5016961476
PRA	-4.61416996601	55.5090340676
TUL	-4.70132098061	56.8842771424
CRR	-4.69060010194	56.7602121644
SGM	-4.30840421556	50.3942727987
LHW	-4.6160751815	55.7871544706
FYS	-4.36945806289	51.7683654285
PWL	-4.41669743092	52.8878327697
CNR	-4.61843344106	56.3904746816
LGB	-4.58527442997	55.9245180443
BOR	-4.41800310611	53.2043003137
RTN	-4.58612561907	55.9704297019
BHC	-4.58348531707	56.0029321982
DLR	-4.57786285203	55.947413513
ALX	-4.57748414739	55.9850816744
HOZ	-4.56305791073	55.8105628074
GVE	-4.68839504214	57.6130395251
DBC	-4.56692048395	55.9466533986
KWL	-4.31698539794	51.7343401153
ABH	-4.37417535655	52.8985814276
DBE	-4.55413661152	55.9422454093
